房價負擔能力表(3季):貸款負擔率(%),105,106,107,108,109
新北市,52.33,51.21,49.79,47.8,48.63
臺北市,63.71,62.08,57.7,56.28,61.14
基隆市,22.68,24.16,23.17,24.49,22.46
宜蘭縣,33.9,34.45,32.68,31.71,33.98
桃園市,35,33.76,30.79,29.67,31.72
新竹市,33.28,33.06,30.93,28.07,29.62
新竹縣,35.91,35.82,32.89,33.22,33.4
苗栗縣,30.39,33.1,33.28,30.87,29.7
臺中市,38.79,38.7,37.97,38.49,39.91
彰化縣,35.44,36.05,33.58,31.97,36.12
南投縣,31.57,30.89,34.59,36.25,31.99
臺南市,30.64,30.13,28,28.41,30.15
嘉義市,23.56,24.15,21.18,22.32,21.47
雲林縣,28.33,29.24,26.98,25.51,27.98
嘉義縣,23.23,22.69,23.51,22.63,23.46
高雄市,35.48,34.15,30.97,29.06,30.58
屏東縣,24.22,23.57,22.62,22.03,23.34
花蓮縣,32.71,31.48,37.13,32.02,34.35
臺東縣,27.43,29.09,29.94,32.81,31.79